	hin_id	hin_sent	eng_id	eng_sent
65	skt_data_0066	तेषु त्वं ज्येष्ठस्ते, सा वा?	skt_data_0066	Who is the eldest among them: you, they or she?
66	skt_data_0067	अहमेवाग्रजोऽस्मि।	skt_data_0067	It is me who was born first .
67	skt_data_0068	तव पितरौ विद्वांसौ न वा?	skt_data_0068	Are your parents learned or not?
68	skt_data_0069	महाविद्वांसौ स्तः।	skt_data_0069	They are both great scholars?
69	skt_data_0070	तर्हि त्वया पित्रोः सकाशात्कुतो न विद्या गृहीता?	skt_data_0070	Then why didn’t you receive education from Your parents?
70	skt_data_0071	अष्टमवर्षपर्य्यन्तं कृता।	skt_data_0071	"upto the
 Eighth year ."
71	skt_data_0072	अत ऊर्ध्वं कुतो न कृता?	skt_data_0072	Why didn’t you do so after this?
72	skt_data_0073	मातृमान् पितृमानाचार्य्यवान् पुरुषो वेदेति शास्त्रविधेः।	skt_data_0073	Because the scripture mandates  that after learning from mother and father a man should go to the acharya  for further learning.
73	skt_data_0074	अन्यच्च, गृहकार्यबाहुल्येन निरन्तरमध्ययनमेव न जायतेऽतः।	skt_data_0074	Besides, because due to excessive work in the family life continuous studies cannot be  carried out at all.
74	skt_data_0075	अतः परं कियद्वर्षपर्यन्तमध्येष्यसे?	skt_data_0075	For how many years will you study beyond this?
75	skt_data_0076	पञ्चत्रिंशद्वर्षाणि।	skt_data_0076	For thirty five years.
76	skt_data_0077	पुनस्ते का चिकीर्षास्ति?	skt_data_0077	What do you want to do then?
77	skt_data_0078	गृहाश्रमस्य।	skt_data_0078	to live a householder’s life.
78	skt_data_0079	किं च भोः! पूर्णविद्यस्य जितेन्द्रियस्य परोपकारकरणाय संन्यासाश्रमग्रहणं शास्त्रोक्तमस्ति, तन्न करिष्यसि?	skt_data_0079	Well! The scriptures say that one who has ac- quired full knowledge and learning, and one who has control over his sense organs should embrace a hermit’s life undertaking to do wel- fare of others. Won’t you do that?
79	skt_data_0080	किं गृहाश्रमे परोपकारो न भवति?	skt_data_0080	Ca not one leading a householder's life do good to others?
80	skt_data_0081	यादृशः संन्यासाश्रमिणा कर्तुं शक्यते न तादृशो गृहाश्रमिणाऽनेककार्यैः प्रतिबन्ध कत्वेनाऽस्य सर्वत्र भ्रमणाशक्यत्वात्।	skt_data_0081	The kind of welfare that can be done by a her- mit cannot be done by a householder because he  cannot go to every place, due to restrictions created by several preoccupa- tions.
81	skt_data_0082	नित्यः स्वाध्यायो जातो भोजन समय आगतो, गन्तव्यम्।	skt_data_0082	The daily self-studies have been carried out. Time to take food has come. Now you/
82	skt_data_0083	तव पाकशालायां प्रत्यहं भोजनाय किं किं पच्यते?	skt_data_0083	What is cooked for meals everyday in your kitchen?
83	skt_data_0084	शाकसूपौदश्वित्कौदनरोटिकादयः।	skt_data_0084	Vegetables, pulses, kadhi , rice, roti,
84	skt_data_0085	किं वः पायसादिमधुरेषु रुचिर्नास्ति?	skt_data_0085	Do not you relish sweet dishes like kheer, etc.?
85	skt_data_0086	अस्ति खलु, परन्त्वेतानि कदाचित् कदाचिद् भवन्ति।	skt_data_0086	We surely do; but they are cooked only occa- sionally.
86	skt_data_0087	कदाचिच्छष्कुली-श्रीखण्डादयोऽपि भवन्ति न वा?	skt_data_0087	Do you ever have kachori, shrikhand, etc. also or not?
87	skt_data_0088	भवन्ति परन्तु यथर्तुयोगम्।	skt_data_0088	We do have, but only when in consonance with the season .
88	skt_data_0089	सत्यमस्माकमपि भोजनादिकमेवमेव निष्पद्यते।	skt_data_0089	That is right . We too have the food cooked only likewise.
89	skt_data_0090	त्वं भोजनं करिष्यसि न वा?	skt_data_0090	Will you take food or not?
90	skt_data_0091	अद्य न करोम्यजीर्णतास्ति।	skt_data_0091	Today I wo not. I have  constipa- tion.
91	skt_data_0092	अधिक भोजनस्येदमेव फलम्।	skt_data_0092	Very this is the result of overeating.
92	skt_data_0093	बुद्धिमता तु यावज्जीर्यते तावदेव भुज्यते।	skt_data_0093	The wise eats only as much as he digests.
93	skt_data_0094	अतिस्वल्पे भुक्ते शरीरबलं ह्रसत्यधिके चातः सर्वदा मिताहारी भवेत्।	skt_data_0094	Overeating as also undereating results into the weakening of the body. So one should always be moderate in eating .
94	skt_data_0095	योऽन्यथाऽऽहारव्यवहारौ करोति स कथं न दुःखी जायेत?	skt_data_0095	Why should he who violates this dictum for eats and drinks, and principles of conduct not suffer ?
95	skt_data_0096	येन शरीराच्छ्मो न क्रियते स शरीरसुखं नाप्नोति।	skt_data_0096	One who does not do physical labour does not acquire physical happiness .
96	skt_data_0097	येनात्मना पुरुषार्थो न विधीयते तस्यात्मनो बलमपि न जायते।	skt_data_0097	One who does not do spiritual labour does not become spiritually strong.
97	skt_data_0098	तस्मात्सर्वैर्मनुष्यैर्यथाशक्ति सत्क्रिया नित्यं साधनीयाः।	skt_data_0098	So all men must do their best in doing good deeds every day.
98	skt_data_0099	भो देवदत्त ! त्वामहं निमन्त्रये।	skt_data_0099	Devadatta! I invite you .
99	skt_data_0100	मन्येऽहं कदा खल्वागच्छेयम्?	skt_data_0100	I accept the invitation. When shall  1 come?
